Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
161,0 days 00:00:00,1 days 16:34:00,0,35,0.0,0.0
158,0 days 00:00:00,1 days 18:44:00,0,34,0.0,0.0
155,0 days 00:00:00,2 days 07:36:00,0,36,0.0,0.0
154,0 days 00:00:00,1 days 04:37:00,0,32,0.0,0.0
150,0 days 00:00:00,3 days 04:57:00,0,100,0.0,0.0
130,0 days 00:00:00,1 days 07:29:00,0,49,0.0,0.0
128,0 days 00:00:00,1 days 11:00:00,0,33,0.0,0.0
127,0 days 00:00:00,2 days 07:56:00,0,57,0.0,0.0
125,0 days 00:00:00,5 days 22:54:00,0,87,0.0,0.0
120,0 days 00:00:00,3 days 05:55:00,0,40,0.0,0.0
117,0 days 00:00:00,6 days 05:34:00,0,102,0.0,0.0
115,0 days 00:00:00,8 days 23:28:00,0,130,0.0,0.0
110,0 days 00:00:00,6 days 11:34:00,0,99,0.0,0.0
108,0 days 00:00:00,10 days 20:07:00,0,174,0.0,0.0
106,0 days 00:00:00,5 days 22:43:00,0,107,0.0,0.0
105,0 days 00:00:00,11 days 14:59:00,0,196,0.0,0.0
179,0 days 00:00:00,1 days 16:48:00,0,61,0.0,0.0
182,0 days 00:00:00,2 days 23:02:00,0,72,0.0,0.0
202,0 days 00:00:00,0 days 20:06:00,0,29,0.0,0.0
234,0 days 00:00:00,7 days 13:59:00,0,169,0.0,0.0
260,0 days 00:00:00,9 days 05:35:00,0,126,0.0,0.0
258,0 days 00:00:00,2 days 16:25:00,0,40,0.0,0.0
251,0 days 00:00:00,10 days 09:34:00,0,201,0.0,0.0
246,0 days 00:00:00,2 days 11:26:00,0,68,0.0,0.0
102,0 days 00:00:00,2 days 07:46:00,0,40,0.0,0.0
242/243,0 days 00:00:00,1 days 20:43:00,0,96,0.0,0.0
240,0 days 00:00:00,9 days 11:03:00,0,178,0.0,0.0
237,0 days 00:00:00,2 days 10:41:00,0,38,0.0,0.0
236/235,0 days 00:00:00,2 days 18:27:00,0,66,0.0,0.0
233,0 days 00:00:00,7 days 14:45:00,0,168,0.0,0.0
205,0 days 00:00:00,5 days 09:21:00,0,68,0.0,0.0
232,0 days 00:00:00,7 days 02:15:00,0,96,0.0,0.0
230,0 days 00:00:00,2 days 05:07:00,0,62,0.0,0.0
224/690,0 days 00:00:00,5 days 10:36:00,0,129,0.0,0.0
222,0 days 00:00:00,1 days 19:01:00,0,39,0.0,0.0
218,0 days 00:00:00,1 days 00:51:00,0,38,0.0,0.0
212,0 days 00:00:00,7 days 04:44:00,0,139,0.0,0.0
211/215,0 days 00:00:00,0 days 21:40:00,0,20,0.0,0.0
209,0 days 00:00:00,1 days 00:12:00,0,32,0.0,0.0
206,0 days 00:00:00,5 days 23:42:00,0,117,0.0,0.0
Metro L Line (Gold) Shuttle 854,0 days 00:00:00,1 days 10:42:00,0,130,0.0,0.0
